brand,total_sales
Ford,82447
Chevrolet,55327
Nissan,44755
Toyota,36066
Dodge,27684
Honda,25432
Hyundai,18956
BMW,17928
Kia,16003
Chrysler,15441
Mercedes-Benz,14367
Infiniti,14130
Jeep,13036
Volkswagen,11134
Lexus,10579
GMC,9481
Mazda,7074
Cadillac,6545
Lincoln,5051
Audi,4915
Acura,4642
Buick,4623
Subaru,4454
Pontiac,4234
Ram,4070
Mitsubishi,3754
Volvo,3200
MINI,2995
Saturn,2732
Mercury,1654
Scion,1581
Land Rover,1341
Jaguar,1292
Porsche,1176
Suzuki,1021
HUMMER,785
FIAT,732
Saab,446
chevrolet,369
ford,347
Oldsmobile,346
smart,346
chrysler,196
Isuzu,193
dodge,168
honda,133
mazda,121
land rover,117
mitsubishi,115
lexus,114
Maserati,111
cadillac,105
Bentley,105
toyota,80
jeep,69
mercedes,67
bmw,67
nissan,62
subaru,57
lincoln,27
landrover,27
mercury,24
gmc,24
Aston Martin,24
Tesla,23
acura,22
Plymouth,19
porsche,19
oldsmobile,18
Rolls-Royce,17
pontiac,17
Ferrari,17
volkswagen,17
vw,16
Geo,16
buick,11
hyundai,11
gmc truck,11
Fisker,9
plymouth,7
audi,6
kia,6
suzuki,4
Daewoo,3
maserati,3
Lamborghini,3
mercedes-b,2
ford truck,2
ford tk,1
dot,1
mazda tk,1
dodge tk,1
chev truck,1
airstream,1
Lotus,1
