brand,automatic_count,manual_count
Ford,80287,2160
Chevrolet,54028,1299
Nissan,43840,915
Toyota,35344,722
Dodge,27077,607
Honda,24116,1316
Hyundai,18239,717
BMW,17092,836
Kia,15409,594
Chrysler,15354,87
Mercedes-Benz,14315,52
Infiniti,13866,264
Jeep,11839,1197
Lexus,10547,32
Volkswagen,9911,1197
GMC,9467,14
Cadillac,6498,47
Mazda,6336,738
Lincoln,5051,0
Buick,4613,10
Audi,4558,357
Acura,4472,170
Pontiac,4080,154
Ram,4033,37
Subaru,3776,678
Mitsubishi,3354,400
Volvo,3154,46
Saturn,2487,245
MINI,2044,951
Mercury,1641,13
Land Rover,1340,1
Jaguar,1287,5
Scion,1172,409
Porsche,955,221
Suzuki,938,83
HUMMER,772,13
FIAT,564,168
Saab,375,71
chevrolet,349,20
Oldsmobile,346,0
smart,346,0
ford,344,3
chrysler,195,1
Isuzu,185,8
dodge,167,1
honda,133,0
land rover,117,0
mitsubishi,115,0
lexus,114,0
Maserati,110,1
cadillac,105,0
Bentley,105,0
mazda,95,26
toyota,77,3
mercedes,67,0
bmw,66,1
subaru,51,6
jeep,37,32
nissan,37,25
lincoln,27,0
landrover,27,0
mercury,24,0
gmc,23,1
Tesla,23,0
acura,22,0
Aston Martin,19,5
Plymouth,18,1
oldsmobile,18,0
Rolls-Royce,17,0
volkswagen,17,0
pontiac,16,1
Ferrari,16,1
vw,13,3
Geo,12,4
buick,11,0
hyundai,11,0
gmc truck,11,0
Fisker,9,0
plymouth,7,0
audi,6,0
porsche,5,14
kia,4,2
suzuki,4,0
Daewoo,3,0
maserati,3,0
Lamborghini,3,0
mercedes-b,2,0
ford truck,2,0
dot,1,0
mazda tk,1,0
dodge tk,1,0
chev truck,1,0
airstream,1,0
ford tk,0,1
Lotus,0,1
