risk_value,date,daily_variation,trend
790,1999-02-01,-147.0,Decrease
769,1999-02-02,-21.0,Decrease
772,1999-02-03,3.0,Increase
777,1999-02-04,5.0,Increase
784,1999-02-05,7.0,Increase
810,1999-02-08,26.0,Increase
815,1999-02-09,5.0,Increase
795,1999-02-10,-20.0,Decrease
759,1999-02-11,-36.0,Decrease
742,1999-02-12,-17.0,Decrease
751,1999-02-15,9.0,Increase
724,1999-02-16,-27.0,Decrease
747,1999-02-17,23.0,Increase
753,1999-02-18,6.0,Increase
747,1999-02-19,-6.0,Decrease
762,1999-02-22,15.0,Increase
766,1999-02-23,4.0,Increase
767,1999-02-24,1.0,Increase
775,1999-02-25,8.0,Increase
786,1999-02-26,11.0,Increase
766,1999-03-01,-20.0,Decrease
799,1999-03-02,33.0,Increase
780,1999-03-03,-19.0,Decrease
748,1999-03-04,-32.0,Decrease
744,1999-03-05,-4.0,Decrease
742,1999-03-08,-2.0,Decrease
738,1999-03-09,-4.0,Decrease
716,1999-03-10,-22.0,Decrease
719,1999-03-11,3.0,Increase
709,1999-03-12,-10.0,Decrease
687,1999-03-15,-22.0,Decrease
700,1999-03-16,13.0,Increase
697,1999-03-17,-3.0,Decrease
689,1999-03-18,-8.0,Decrease
683,1999-03-19,-6.0,Decrease
682,1999-03-22,-1.0,Decrease
704,1999-03-23,22.0,Increase
698,1999-03-24,-6.0,Decrease
687,1999-03-25,-11.0,Decrease
689,1999-03-26,2.0,Increase
693,1999-03-29,4.0,Increase
696,1999-03-30,3.0,Increase
683,1999-03-31,-13.0,Decrease
661,1999-04-01,-22.0,Decrease
672,1999-04-02,11.0,Increase
660,1999-04-05,-12.0,Decrease
669,1999-04-06,9.0,Increase
643,1999-04-07,-26.0,Decrease
641,1999-04-08,-2.0,Decrease
641,1999-04-09,0.0,No Change
615,1999-04-12,-26.0,Decrease
611,1999-04-13,-4.0,Decrease
621,1999-04-14,10.0,Increase
623,1999-04-15,2.0,Increase
597,1999-04-16,-26.0,Decrease
612,1999-04-19,15.0,Increase
608,1999-04-20,-4.0,Decrease
597,1999-04-21,-11.0,Decrease
603,1999-04-22,6.0,Increase
622,1999-04-23,19.0,Increase
607,1999-04-26,-15.0,Decrease
615,1999-04-27,8.0,Increase
635,1999-04-28,20.0,Increase
621,1999-04-29,-14.0,Decrease
