risk_value,date,daily_variation,percent_change,trend
790,1999-02-01,-147.0,-15.688367129135539,Decrease
769,1999-02-02,-21.0,-2.658227848101269,Decrease
772,1999-02-03,3.0,0.39011703511053764,Increase
777,1999-02-04,5.0,0.6476683937823857,Increase
784,1999-02-05,7.0,0.9009009009008917,Increase
810,1999-02-08,26.0,3.316326530612246,Increase
815,1999-02-09,5.0,0.6172839506172867,Increase
795,1999-02-10,-20.0,-2.4539877300613466,Decrease
759,1999-02-11,-36.0,-4.528301886792452,Decrease
742,1999-02-12,-17.0,-2.2397891963109373,Decrease
751,1999-02-15,9.0,1.21293800539084,Increase
724,1999-02-16,-27.0,-3.595206391478034,Decrease
747,1999-02-17,23.0,3.176795580110503,Increase
753,1999-02-18,6.0,0.8032128514056325,Increase
747,1999-02-19,-6.0,-0.7968127490039834,Decrease
762,1999-02-22,15.0,2.008032128514059,Increase
766,1999-02-23,4.0,0.5249343832020914,Increase
767,1999-02-24,1.0,0.13054830287206887,Increase
775,1999-02-25,8.0,1.04302477183833,Increase
786,1999-02-26,11.0,1.4193548387096744,Increase
766,1999-03-01,-20.0,-2.5445292620865145,Decrease
799,1999-03-02,33.0,4.308093994778073,Increase
780,1999-03-03,-19.0,-2.377972465581979,Decrease
748,1999-03-04,-32.0,-4.102564102564099,Decrease
744,1999-03-05,-4.0,-0.5347593582887722,Decrease
742,1999-03-08,-2.0,-0.26881720430107503,Decrease
738,1999-03-09,-4.0,-0.5390835579514808,Decrease
716,1999-03-10,-22.0,-2.981029810298108,Decrease
719,1999-03-11,3.0,0.41899441340782495,Increase
709,1999-03-12,-10.0,-1.3908205841446475,Decrease
687,1999-03-15,-22.0,-3.1029619181946355,Decrease
700,1999-03-16,13.0,1.8922852983988436,Increase
697,1999-03-17,-3.0,-0.4285714285714337,Decrease
689,1999-03-18,-8.0,-1.147776183644189,Decrease
683,1999-03-19,-6.0,-0.8708272859216271,Decrease
682,1999-03-22,-1.0,-0.14641288433382416,Decrease
704,1999-03-23,22.0,3.2258064516129004,Increase
698,1999-03-24,-6.0,-0.8522727272727293,Decrease
687,1999-03-25,-11.0,-1.5759312320916874,Decrease
689,1999-03-26,2.0,0.29112081513829047,Increase
693,1999-03-29,4.0,0.5805515239477588,Increase
696,1999-03-30,3.0,0.43290043290042934,Increase
683,1999-03-31,-13.0,-1.867816091954022,Decrease
661,1999-04-01,-22.0,-3.221083455344065,Decrease
672,1999-04-02,11.0,1.6641452344931862,Increase
660,1999-04-05,-12.0,-1.7857142857142905,Decrease
669,1999-04-06,9.0,1.3636363636363669,Increase
643,1999-04-07,-26.0,-3.8863976083707064,Decrease
641,1999-04-08,-2.0,-0.3110419906687367,Decrease
641,1999-04-09,0.0,0.0,No Change
615,1999-04-12,-26.0,-4.056162246489858,Decrease
611,1999-04-13,-4.0,-0.6504065040650375,Decrease
621,1999-04-14,10.0,1.6366612111292866,Increase
623,1999-04-15,2.0,0.32206119162641045,Increase
597,1999-04-16,-26.0,-4.17335473515249,Decrease
612,1999-04-19,15.0,2.5125628140703515,Increase
608,1999-04-20,-4.0,-0.6535947712418277,Decrease
597,1999-04-21,-11.0,-1.8092105263157854,Decrease
603,1999-04-22,6.0,1.005025125628145,Increase
622,1999-04-23,19.0,3.1509121061359835,Increase
607,1999-04-26,-15.0,-2.4115755627009627,Decrease
615,1999-04-27,8.0,1.317957166392092,Increase
635,1999-04-28,20.0,3.2520325203251987,Increase
621,1999-04-29,-14.0,-2.2047244094488216,Decrease
589,1999-04-30,-32.0,-5.152979066022545,Decrease
585,1999-05-03,-4.0,-0.6791171477079749,Decrease
587,1999-05-04,2.0,0.34188034188034067,Increase
591,1999-05-05,4.0,0.6814310051107331,Increase
586,1999-05-06,-5.0,-0.8460236886632777,Decrease
576,1999-05-07,-10.0,-1.7064846416382284,Decrease
581,1999-05-10,5.0,0.868055555555558,Increase
610,1999-05-11,29.0,4.991394148020656,Increase
